observation_date,IRLTLT01USQ156N
1995-01-01,7.483333333333330
1995-04-01,6.620000000000000
1995-07-01,6.323333333333330
1995-10-01,5.893333333333330
1996-01-01,5.910000000000000
1996-04-01,6.720000000000000
1996-07-01,6.780000000000000
1996-10-01,6.343333333333330
1997-01-01,6.563333333333330
1997-04-01,6.696666666666670
1997-07-01,6.243333333333330
1997-10-01,5.906666666666670
1998-01-01,5.586666666666670
1998-04-01,5.596666666666670
1998-07-01,5.203333333333330
1998-10-01,4.670000000000000
1999-01-01,4.983333333333330
1999-04-01,5.540000000000000
1999-07-01,5.883333333333330
1999-10-01,6.140000000000000
2000-01-01,6.480000000000000
2000-04-01,6.176666666666670
2000-07-01,5.893333333333330
2000-10-01,5.566666666666670
2001-01-01,5.050000000000000
2001-04-01,5.270000000000000
2001-07-01,4.980000000000000
2001-10-01,4.770000000000000
2002-01-01,5.076666666666670
2002-04-01,5.100000000000000
2002-07-01,4.260000000000000
2002-10-01,4.006666666666670
2003-01-01,3.920000000000000
2003-04-01,3.620000000000000
2003-07-01,4.233333333333330
2003-10-01,4.286666666666670
2004-01-01,4.020000000000000
2004-04-01,4.600000000000000
2004-07-01,4.303333333333330
2004-10-01,4.173333333333330
2005-01-01,4.296666666666670
2005-04-01,4.160000000000000
2005-07-01,4.213333333333330
2005-10-01,4.490000000000000
2006-01-01,4.570000000000000
2006-04-01,5.070000000000000
2006-07-01,4.896666666666670
2006-10-01,4.630000000000000
2007-01-01,4.680000000000000
2007-04-01,4.846666666666670
2007-07-01,4.730000000000000
2007-10-01,4.260000000000000
2008-01-01,3.663333333333330
2008-04-01,3.886666666666670
2008-07-01,3.863333333333330
2008-10-01,3.253333333333330
2009-01-01,2.736666666666670
2009-04-01,3.313333333333330
2009-07-01,3.516666666666670
2009-10-01,3.460000000000000
2010-01-01,3.716666666666670
2010-04-01,3.490000000000000
2010-07-01,2.786666666666670
2010-10-01,2.863333333333330
2011-01-01,3.460000000000000
2011-04-01,3.210000000000000
2011-07-01,2.426666666666670
2011-10-01,2.046666666666670
2012-01-01,2.036666666666670
2012-04-01,1.823333333333330
2012-07-01,1.643333333333330
2012-10-01,1.706666666666670
2013-01-01,1.950000000000000
2013-04-01,1.996666666666670
2013-07-01,2.710000000000000
2013-10-01,2.746666666666670
2014-01-01,2.763333333333330
2014-04-01,2.623333333333330
2014-07-01,2.496666666666670
2014-10-01,2.280000000000000
2015-01-01,1.966666666666670
2015-04-01,2.166666666666670
2015-07-01,2.220000000000000
2015-10-01,2.190000000000000
2016-01-01,1.920000000000000
2016-04-01,1.753333333333330
2016-07-01,1.563333333333330
2016-10-01,2.130000000000000
2017-01-01,2.443333333333330
2017-04-01,2.263333333333330
2017-07-01,2.243333333333330
2017-10-01,2.370000000000000
2018-01-01,2.760000000000000
2018-04-01,2.920000000000000
2018-07-01,2.926666666666670
2018-10-01,3.033333333333330
2019-01-01,2.653333333333330
2019-04-01,2.333333333333330
2019-07-01,1.796666666666670
2019-10-01,1.793333333333330
2020-01-01,1.376666666666670
2020-04-01,0.686666666666667
2020-07-01,0.650000000000000
